indicator_id,samsung_definition,skhynix_definition,unit_match,period_match,scope_match,comparability,comparison_note
E01,"GHG 배출집약도, market-based, DX+DS 연결","GHG 배출집약도, market-based, 회사전체(한국+중국)",Y,Y,N(전사vs전사이나 사업다각화 차이),partial,"둘 다 market-based·연결기준이나, 삼성은 반도체 외 사업 포함(DX+DS), SK는 반도체 단일사업. 절대수준 비교시 주의"
E02,"재이용량(절대값, 1,000tonnes), DS부문 우선","재이용률(%), 전사",N,Y,Y,not_comparable,"단위 상이(량 vs 율), 팀 결정으로 환산 없이 원표시 유지"
E03,"폐기물 재활용률(%), DS부문","유해폐기물 재활용률(%), SASB기준, 전사",N(모집단 상이),Y,N,partial,삼성=전체폐기물 vs SK=유해폐기물 한정. 명칭은 유사하나 모집단 다름
E04,PFC처리효율/NF3저감률/처리기여도(3개 별개 하위지표),공정가스 GHG 배출감소율(단일지표),N,N,Y,not_comparable,"삼성은 특정공정·설비 단위 지표 3종, SK는 전사 배출감소율 단일지표. 팀 확인 후 재정의 필요"
E05,유해물질 유출건수(건),환경법규위반건수(건)+대기오염물질배출량(ton) 대체사용,N,Y,Y,not_comparable,"삼성='유출건수', SK 보고서엔 대응 항목 없어 위반건수+배출량으로 대체. 정의 상이"
S01,LTIR(%),LTIFR(건/20만 근로시간)+사고율(%),N(단위상이),Y,Y,partial,산식 명칭 유사하나 단위 다름(%비율 vs 빈도수). 정확한 산식 일치여부 확인 권장
S02,협력사 현장감사/자가진단(개사 수),"협력사 현장평가 이행률(%), 국내/해외 별도",N,Y,partial,partial,"삼성=건수기반, SK=이행률(%)기반. 고위험협력사 정의도 다를 수 있음"
S03,전체 이직률(%) — 자발/비자발 구분 불명,자발적 이직률(%)만 집계,N(모집단 상이 추정),Y,Y,partial,삼성 수치가 자발+비자발 포함인지 확인 필요. SK는 자발적 이직만 집계 명시
S04,개인정보 법률관리 컨설팅 건수(정량),ISO27001/27701 인증 여부(정성)+보안교육이수율(%),N,Y,Y,not_comparable,"삼성=정량 실적지표, SK=정성 인증여부+정량 교육률 혼재. 성격이 다른 지표"
S05,미확보(별도 외부보고서),RMAP 인증률(%),-,-,-,one_sided,"삼성 데이터 없음, 비교 불가"
G01,사외이사 수 / 이사회 총원(전사),사외이사 수 / 이사회 총원(전사),Y,Y(2025 공통),Y,direct,"산식·범위 동일(사외이사 비율). 2025년 기준 삼성 66.7% vs SK 55.6%로 직접 비교 가능"
G03,"사업보고서 제재현황(당사+전세계 종속회사 합산): 2023=7건/2024=7건/2025=16건","사업보고서 XI.3 제재현황(당사 단독): 2023=3건/2024=2건/2025=3건",N(모집단 상이),Y(2023~2025 공통),N,not_comparable,"양사 모두 동일 문서(사업보고서 제재현황)에서 가져왔으나 규모 차이가 큼 — 삼성은 Harman·삼성디스플레이·삼성메디슨·레인보우로보틱스 등 비반도체 종속회사 제재까지 포함해 전세계 30건, SK는 종속회사 언급 없이 당사 단독 8건. 반도체 사업 단독 리스크로 보기 어려움(특히 삼성). 직접 비교·평균 금지"
G02,"DART 정정보고서 검색(공시대상회사=삼성전자): 2023-01-01~2025-12-31 누적 45건","DART 정정보고서 검색(공시대상회사=SK하이닉스): 2023-01-01~2025-12-31 누적 28건",Y(둘 다 건수),Y(2023~2025 동일 window),N(계열사 수·사업규모 상이),not_comparable,"동일 방식(DART 정정보고서 검색)으로 확보했으나 삼성 45건 vs SK 28건 단순 비교는 곤란 — 삼성 그룹 계열사 수·사업 규모가 훨씬 크므로 정정공시 빈도도 자연히 높을 수 있음. 연도별 세부내역 미확보(3개년 누적치만). 개별 기업 추이 설명용으로만 사용 권장"
